SapCode ,SPU Id ,ML Exclusion,Month,ML Forecast,Global Lag 0 PBU Consensus FC,Shipped Units
ABC,REZ40000B1,N,3,1,0,0
ABC,REZ42000B1,N,3,0,1,0
ABC,REZ50000NL,N,3,316,210,433
ABC,REZ61000CA,Y,3,1,0,0
ABC,REZ67000GB,Y,3,0,0,4
ABC,REZA1000ZA,Y,3,0,0,0
ABC,REZA2000ZA,Y,3,0,0,0
ABC,REZA3000ZA,Y,3,0,0,0
ABC,REZA4000ZA,Y,3,0,0,0
ABC,REZA5000ZA,Y,3,0,0,0
ABC,RE000001DE,Y,4,7,3,0
ABC,RE000001PL,Y,4,1,1,0
ABC,RE000002FR,N,4,0,0,0
ABC,RE000003FR,N,4,0,0,0
ABC,RE000004FR,N,4,0,0,0
ABC,RE000999AE,Y,4,76,72,0
ABC,RE001030NL,Y,4,0,0,0
ABC,RE004260FR,N,4,302,674,300
ABC,RE009000SE,N,4,0,0,0
ABC,RE015130FR,Y,4,80,115,183
ABC,RE023010BE,N,4,0,0,0
ABC,RE040010NL,N,4,0,0,0
ABC,RE099AAAAT,N,4,17,9,1
ABC,RE099AAAAU,Y,4,0,0,0
ABC,RE099AAABE,N,4,87,202,101
ABC,RE099AAABG,N,4,22,16,16
ABC,RE099AAACH,Y,4,31,44,19
ABC,RE099AAACZ,N,4,13,9,8
ABC,RE099AAADE,N,4,160,231,179
ABC,RE099AAADK,N,4,105,80,103
ABC,RE099AAAES,Y,4,515,421,321
ABC,RE099AAAFI,N,4,0,0,0
ABC,RE099AAAFR,N,4,826,209,936
ABC,RE099AAAGB,N,4,85,54,80
ABC,RE099AAAGR,N,4,38,35,70
ABC,RE099AAAHU,N,4,13,12,11
ABC,RE099AAAIE,Y,4,0,0,2
ABC,RE099AAAIL,Y,4,0,0,0
ABC,RE099AAAIT,N,4,608,539,725
ABC,RE099AAAJP,Y,4,0,24,0
ABC,RE099AAALU,N,4,32,32,8
ABC,RE099AAAMD,N,4,0,0,3
ABC,RE099AAANL,N,4,43,33,29
ABC,RE099AAANO,N,4,0,0,0
ABC,RE099AAANZ,Y,4,0,0,0
ABC,RE099AAAPL,N,4,78,160,67
ABC,RE099AAAPT,Y,4,8,6,0
ABC,RE099AAAQA,Y,4,0,0,0
ABC,RE099AAAR4,Y,4,0,0,0
ABC,RE099AAARO,N,4,29,57,8
ABC,RE099AAARS,N,4,7,7,0
ABC,RE099AAARU,Y,4,0,0,0
ABC,RE099AAASE,N,4,0,0,0
ABC,RE099AAASI,N,4,36,21,0
ABC,RE099AAASK,N,4,6,6,0
ABC,RE099AAATR,Y,4,54,70,12
ABC,RE099AAAUA,N,4,6,12,0
ABC,RE099AAAUS,Y,4,0,0,0
ABC,RE100AAAGB,N,4,0,0,0
ABC,RE115000DZ,Y,4,0,0,0
ABC,RE123456PL,N,4,78,97,0
ABC,RE138000TR,Y,4,0,0,0
ABC,RE226000CN,N,4,0,0,0
ABC,RE256000CY,N,4,0,0,0
ABC,RE277000AE,Y,4,0,0,0
ABC,RE286000EG,Y,4,0,0,0
ABC,RE328000GH,Y,4,0,0,0
ABC,RE391000IQ,Y,4,0,0,0
ABC,RE628000CN,Y,4,0,0,0
ABC,RE637000KR,Y,4,0,0,18
ABC,RE641000TW,Y,4,0,0,0
ABC,RE647000TH,Y,4,0,0,0
ABC,RE657000ID,Y,4,0,0,0
ABC,RE659000MX,Y,4,0,0,0
ABC,RE664000PH,Y,4,0,0,0
ABC,RE672000IN,Y,4,0,0,0
ABC,RE677000SG,Y,4,0,0,0
ABC,RE684000MY,Y,4,0,0,0
ABC,RE775000SI,N,4,61,38,40
ABC,RE999000TR,Y,4,0,0,0
ABC,RE999000ZA,N,4,0,0,0
ABC,RE999900AE,Y,4,0,0,0
ABC,REAHBMW0DE,N,4,14,25,0
ABC,REAHDAIMDE,Y,4,7,0,0
ABC,REAHOTHEDE,N,4,134,237,135
ABC,REAHTYSYDE,Y,4,0,0,0
ABC,REAHVW00DE,Y,4,170,57,8
ABC,REATU000DE,N,4,1291,1496,1000
ABC,REATYSE0FR,N,4,1233,1679,566
ABC,REAXLE00GB,Y,4,119,146,103
ABC,REBDC000AE,Y,4,0,0,0
ABC,REBOND00GB,Y,4,30,85,22
ABC,RECD0000NO,Y,4,0,0,0
ABC,REDELTICDE,Y,4,155,193,156
ABC,REDELTICFR,Y,4,199,128,84
ABC,REDIRECTZA,N,4,0,0,0
ABC,REDISTRIFR,N,4,78,170,158
ABC,REECOMFR1C,Y,4,1,3,0
ABC,REENIS00PL,Y,4,27,136,151
ABC,REEQUITYDE,N,4,503,2092,1080
ABC,REETEL00GB,Y,4,86,92,79
ABC,REEXPORTRU,Y,4,0,0,0
ABC,REFINTYRIT,N,4,86,48,204
ABC,REFSD000DE,N,4,0,0,0
ABC,REGB2000GB,Y,4,71,105,87
ABC,REGDHSOTDE,N,4,699,1220,541
ABC,REGROUPPGB,N,4,35,19,66
ABC,REGRUPO0ES,N,4,0,0,0
ABC,REKEYAC0GB,N,4,0,0,0
ABC,REKRANJIIT,N,4,62,56,0
ABC,REMODISTCZ,N,4,0,0,0
ABC,REMORET0CZ,N,4,0,0,0
ABC,RENORAUTES,Y,4,64,68,81
ABC,REPUBLICGR,N,4,0,0,0
ABC,RESELLTHCZ,N,4,102,92,32
ABC,RESELLTHHU,N,4,14,12,0
ABC,RESELLTHSK,N,4,11,11,3
ABC,RESSA000ZA,N,4,0,0,0
ABC,RESSA001ZA,N,4,0,0,0
ABC,RESSA002ZA,N,4,0,0,0
ABC,RESSA003ZA,N,4,0,0,0
ABC,RESSA004ZA,N,4,0,0,0
ABC,RESSA005ZA,N,4,0,0,0
ABC,RESSA006ZA,N,4,0,0,0
ABC,RESSA007ZA,N,4,0,0,0
ABC,RESSA008ZA,N,4,0,0,0
ABC,RESSA009ZA,N,4,0,0,0
ABC,REWHOLESDE,N,4,1125,1356,1282
ABC,REWHOLESFR,N,4,0,0,0
ABC,REWHTYSYDE,Y,4,221,260,215
ABC,REZ29000ZA,N,4,0,0,0
ABC,REZ38000B1,N,4,0,0,0
ABC,REZ40000B1,N,4,8,4,0
ABC,REZ42000B1,N,4,8,0,1
ABC,REZ50000NL,N,4,408,400,420
ABC,REZ61000CA,Y,4,1,0,0
ABC,REZ67000GB,Y,4,0,0,4
ABC,REZA1000ZA,Y,4,0,0,0
ABC,REZA2000ZA,Y,4,0,0,0
ABC,REZA3000ZA,Y,4,0,0,0
ABC,REZA4000ZA,Y,4,0,0,0
ABC,REZA5000ZA,Y,4,0,0,0
ABC,RE000001DE,Y,5,0,0,4
ABC,RE000001PL,Y,5,0,0,0
ABC,RE000002FR,N,5,0,0,0
ABC,RE000003FR,N,5,0,0,0
ABC,RE000004FR,N,5,0,0,0
ABC,RE000999AE,Y,5,0,0,485
ABC,RE001030NL,Y,5,0,0,0
ABC,RE004260FR,N,5,0,0,590
ABC,RE009000SE,N,5,0,0,0
ABC,RE015130FR,Y,5,0,0,29
ABC,RE023010BE,N,5,0,0,0
ABC,RE040010NL,N,5,0,0,0
ABC,RE099AAAAT,N,5,0,0,19
ABC,RE099AAAAU,Y,5,0,0,0
ABC,RE099AAABE,N,5,0,0,82
ABC,RE099AAABG,N,5,0,0,0
ABC,RE099AAACH,Y,5,0,0,2
ABC,RE099AAACZ,N,5,0,0,0
ABC,RE099AAADE,N,5,0,0,177
ABC,RE099AAADK,N,5,0,0,95
ABC,RE099AAAES,Y,5,0,0,502
ABC,RE099AAAFI,N,5,0,0,0
ABC,RE099AAAFR,N,5,0,0,684
ABC,RE099AAAGB,N,5,0,0,13
ABC,RE099AAAGR,N,5,0,0,13
ABC,RE099AAAHU,N,5,0,0,4
ABC,RE099AAAIE,Y,5,0,0,0
ABC,RE099AAAIL,Y,5,0,0,0
ABC,RE099AAAIT,N,5,0,0,653
ABC,RE099AAAJP,Y,5,0,24,0
ABC,RE099AAALU,N,5,0,0,20
ABC,RE099AAAMD,N,5,0,0,0
ABC,RE099AAANL,N,5,0,0,31
ABC,RE099AAANO,N,5,0,0,2
ABC,RE099AAANZ,Y,5,0,0,0
ABC,RE099AAAPL,N,5,0,0,45
ABC,RE099AAAPT,Y,5,0,0,1
ABC,RE099AAAQA,Y,5,0,0,0
ABC,RE099AAAR4,Y,5,0,0,0
ABC,RE099AAARO,N,5,0,0,36
ABC,RE099AAARS,N,5,0,0,40
ABC,RE099AAARU,Y,5,0,0,0
ABC,RE099AAASE,N,5,0,0,0
ABC,RE099AAASI,N,5,0,0,0
ABC,RE099AAASK,N,5,0,0,4
ABC,RE099AAATR,Y,5,0,0,132
ABC,RE099AAAUA,N,5,0,0,6
ABC,RE099AAAUS,Y,5,0,0,0
ABC,RE100AAAGB,N,5,0,0,0
ABC,RE115000DZ,Y,5,0,0,0
ABC,RE123456PL,N,5,0,0,210
ABC,RE138000TR,Y,5,0,0,0
ABC,RE226000CN,N,5,0,0,0
ABC,RE256000CY,N,5,0,0,0
ABC,RE277000AE,Y,5,0,0,0
ABC,RE286000EG,Y,5,0,0,0
ABC,RE328000GH,Y,5,0,0,0
ABC,RE391000IQ,Y,5,0,0,0
ABC,RE628000CN,Y,5,0,0,0
ABC,RE637000KR,Y,5,0,0,60
ABC,RE641000TW,Y,5,0,0,0
ABC,RE647000TH,Y,5,0,0,0
ABC,RE657000ID,Y,5,0,0,0
